source,target,value
Amory,The Mountain,6
Jaime,The Mountain,13
Jaime,Robb,15
Ilyn,Jaime,18
Lancel,Varys,4
Cersei,The Mountain,6
Roose,The Mountain,12
Littlefinger,The Mountain,2
Jaime,Littlefinger,5
Beric,Jaime,15
Cersei,Meryn,13
Beric,Cersei,3
Margaery,Tyrion,3
Brienne,Qyburn,3
Podrick,The Hound,2
Randyll,Sansa,3
Margaery,Meryn,12
Loras,Meryn,9
Euron,Pycelle,4
Euron,Margaery,5
Loras,Pycelle,11
Loras,Sansa,7
Margaery,Sansa,5
Loras,Stannis,11
Lancel,Robb,3
Edmure,Jaime,45
Robert,Thoros,6
Catelyn,Jaime,10
Jaime,Lysa,4
Cersei,Lysa,3
Catelyn,Cersei,5
Catelyn,Lysa,4
Brynden,Lysa,6
Kevan,Robert,7
Kevan,Tywin,11
Lancel,Tywin,4
Joffrey,Mace,5
Loras,Mace,6
Meryn,Qyburn,6
Lancel,Qyburn,8
Mace,Robert,4
Joffrey,Pycelle,8
Qyburn,Robert,1
Brienne,Gendry,40
Gendry,Renly,3
Gendry,Robert,5
Joffrey,Renly,5
Biter,Brienne,24
Brynden,Catelyn,5
Brienne,Ned,6
Catelyn,Ned,2
Catelyn,Theon,6
Edmure,Tommen,4
Tyrion,Tywin,6
Edmure,Tywin,5
Mace,Renly,7
Doran,Obara,1
Obara,Trystane,4
Robert,Tyene,3
Obara,Tyene,6
Marillion,Robert,3
Myranda,Robert,6
Littlefinger,Myranda,2
Alys,Jon,13
Alys,Lysa,5
Gendry,Podrick,2
Brienne,Thoros,8
Beric,Thoros,3
Rorge,The Hound,6
Brienne,Grey,5
Brienne,Cersei,2
Margaery,Olenna,2
Jaime,Meryn,5
Cersei,Unella,9
Joffrey,Unella,2
Mace,Randyll,6
Jaime,Thoros,7
Brynden,Joffrey,6
Dickon,Gilly,1
Gilly,Mance,6
Aemon,Bran,5
Bran,Jon,6
Daenerys,Stannis,5
Melisandre,Stannis,14
Davos,Melisandre,6
Davos,Tyrion,5
Margaery,Shireen,4
Shireen,Stannis,6
Aemon,Stannis,11
Selyse,Stannis,6
Renly,Selyse,5
Renly,Stannis,6
Robb,Stannis,1
Robb,Roose,5
Catelyn,Roose,5
Catelyn,Rickard,6
Rickard,The Hound,6
The Hound,The Mountain,6
Ramsay,Roose,29
Lothar,Ramsay,6
Lothar,Robb,6
Arya,Robb,6
Jorah,Mace,6
Kevan,Robb,6
Myrcella,Robb,7
Myrcella,The Mountain,6
Oberyn,The Mountain,6
Ellaria,Oberyn,6
Ellaria,Myrcella,6
Rickon,Robb,4
Jon,Roose,6
Greatjon,Roose,6
Greatjon,Rickard,6
Rickard,Robett,6
Locke,Robett,6
Jeor,Locke,6
Margaery,Renly,6
Beric,The Mountain,6
Aemon,The Mountain,5
Craster,Jeor,6
Jeor,Thenn,5
Styr,Thenn,12
Thenn,Tormund,6
Qhorin,Tormund,6
Craster,Robert,5
Mirri,Robert,6
Khal,Mirri,6
Daenerys,Missandei,8
Irri,Missandei,4
Irri,Khal,1
Grey,Khal,3
Barristan,Grey,19
Irri,Jorah,2
Daario,Mirri,3
Barristan,Daario,5
Grey,Missandei,6
Hizdahr,Xaro,4
