source,target,value
Cersei,Shae,5
Sansa,Tyrion,41
Sansa,Shae,9
Kevan,Sansa,11
Jaime,Lysa,5
Lysa,Yohn,4
Robert,Yohn,5
Kevan,Robb,7
Greatjon,Ned,7
Edmure,Greatjon,2
Edmure,Rickard,3
Catelyn,Rickard,19
Brynden,Greatjon,5
Brynden,Robb,1
Catelyn,Kevan,1
Brynden,Kevan,3
Brynden,Roose,5
Rickard,Robb,6
Ned,Rickon,5
Rickon,Robb,5
Joffrey,Robert,12
Joffrey,Myrcella,5
Myrcella,Sansa,6
Jaime,Sansa,14
Greatjon,Robert,4
Brienne,Rorge,18
Jaime,Rorge,33
Beric,Thoros,10
Gendry,Thoros,34
Beric,Gendry,12
Arya,Robb,8
Anguy,Gendry,10
Thoros,Yoren,1
Jorah,Kraznys,10
Greatjon,Osha,3
Greatjon,Hodor,5
Bran,Meera,7
Barristan,Meera,4
Joffrey,Shireen,13
Davos,Tommen,2
Stannis,Tommen,6
Shireen,Tommen,5
Shireen,Stannis,6
Luwin,Ygritte,5
Mance,Orell,5
Ned,Ygritte,4
Bowen,Styr,5
Thenn,Ygritte,5
Kraznys,Missandei,9
Jorah,Robert,1
Jorah,Missandei,8
Daenerys,Missandei,4
Irri,Kraznys,5
Irri,Rakharo,3
Meryn,Sansa,7
Joffrey,Meryn,5
Ilyn,Tyrion,3
Lancel,Rickon,1
Dontos,Rickon,5
Dontos,Varys,3
Mordane,Sansa,6
Gendry,Syrio,1
Gendry,Jaime,2
Edmure,Tyrion,5
Cersei,Edmure,2
Rickard,Rorge,3
Jaime,Roose,9
Brienne,Roose,3
Brienne,Sansa,4
Brienne,Qyburn,14
Jaime,Qyburn,78
Bronn,Jaime,1
Lancel,Robb,6
Jaime,Varys,4
Bronn,Joffrey,4
Joffrey,Robb,6
Littlefinger,Robert,3
Bowen,Pycelle,5
Bowen,Jeor,5
Jeor,Pycelle,3
Pycelle,Renly,3
Janos,Pycelle,8
Janos,Tyrion,2
Craster,Gilly,43
Gilly,Jon,15
Craster,Mance,4
Gilly,Mance,2
Jon,Samwell,4
Craster,Grenn,16
Gilly,Grenn,4
Robert,The Hound,11
Ned,The Hound,2
Arya,Ned,19
Gendry,Ned,3
Ned,Thoros,17
Gendry,The Hound,3
Beric,The Hound,8
Arya,The Hound,3
