Date,Price_Real_Raizen
11/14/22,4.12
11/16/22,4.03
11/17/22,3.91
11/18/22,4.07
11/21/22,4.03
11/22/22,4.03
11/23/22,4.0
11/24/22,4.15
11/25/22,4.05
11/28/22,4.02
11/29/22,4.0
11/30/22,4.05
12/01/22,3.84
12/02/22,3.9
12/05/22,3.73
12/06/22,3.68
12/07/22,3.6
12/08/22,3.34
12/09/22,3.35
12/12/22,3.3
12/13/22,3.26
12/14/22,3.34
12/15/22,3.3
12/16/22,3.26
12/19/22,3.34
12/20/22,3.54
12/21/22,3.62
12/22/22,3.63
12/23/22,3.71
12/26/22,3.63
12/27/22,3.68
12/28/22,3.75
12/29/22,3.74
01/02/23,3.54
01/03/23,3.34
01/04/23,3.32
01/05/23,3.23
01/06/23,3.22
01/09/23,3.23
01/10/23,3.35
01/11/23,3.58
01/12/23,3.49
01/13/23,3.34
01/16/23,3.3
01/17/23,3.36
01/18/23,3.35
01/19/23,3.41
01/20/23,3.29
01/23/23,3.29
01/24/23,3.47
01/25/23,3.53
01/26/23,3.48
01/27/23,3.42
01/30/23,3.25
01/31/23,3.29
02/01/23,3.15
02/02/23,3.05
02/03/23,3.09
02/06/23,3.15
02/07/23,3.13
02/08/23,3.3
02/09/23,3.28
02/10/23,3.21
02/13/23,3.22
02/14/23,2.98
02/15/23,3.09
02/16/23,3.08
02/17/23,3.03
02/22/23,3.08
02/23/23,3.04
02/24/23,2.89
02/27/23,3.04
02/28/23,3.08
03/01/23,3.02
03/02/23,2.92
03/03/23,2.83
03/06/23,2.91
03/07/23,2.91
03/08/23,2.94
03/09/23,2.8
03/10/23,2.72
03/13/23,2.62
03/14/23,2.71
03/15/23,2.71
03/16/23,2.73
03/17/23,2.47
03/20/23,2.47
03/21/23,2.38
03/22/23,2.33
03/23/23,2.26
03/24/23,2.41
03/27/23,2.51
03/28/23,2.65
03/29/23,2.75
03/30/23,2.89
03/31/23,2.85
04/03/23,2.83
04/04/23,2.83
04/05/23,2.82
04/06/23,2.79
04/10/23,2.81
04/11/23,3.06
04/12/23,3.06
04/13/23,3.03
04/14/23,3.04
04/17/23,3.12
04/18/23,3.18
04/19/23,3.03
04/20/23,3.11
04/24/23,3.23
04/25/23,3.18
04/26/23,3.05
04/27/23,3.13
04/28/23,3.19
05/02/23,3.04
05/03/23,3.15
05/04/23,3.18
05/05/23,3.28
05/08/23,3.31
05/09/23,3.18
05/10/23,3.28
05/11/23,3.33
05/12/23,3.29
05/15/23,3.14
05/16/23,3.24
05/17/23,3.42
05/18/23,3.47
05/19/23,3.67
05/22/23,3.65
05/23/23,3.65
05/24/23,3.49
05/25/23,3.45
05/26/23,3.46
05/29/23,3.53
05/30/23,3.6
05/31/23,3.63
06/01/23,3.76
06/02/23,3.71
06/05/23,3.77
06/06/23,3.92
06/07/23,3.95
06/09/23,3.98
06/12/23,3.99
06/13/23,3.89
06/14/23,3.94
06/15/23,3.95
06/16/23,3.95
06/19/23,3.97
06/20/23,4.15
06/21/23,4.23
06/22/23,4.26
06/23/23,4.35
06/26/23,4.42
06/27/23,4.44
06/28/23,4.39
06/29/23,4.59
